4052527A	IV	Rat 1 -20M349	0.25	74.4
4052527A	IV	Rat 1 -20M349	0.5	117
4052527A	IV	Rat 1 -20M349	1	154
4052527A	IV	Rat 1 -20M349	1.083333333	99.1
4052527A	IV	Rat 1 -20M349	1.25	55.2
4052527A	IV	Rat 1 -20M349	1.5	45.8
4052527A	IV	Rat 1 -20M349	2	29.2
4052527A	IV	Rat 1 -20M349	4	9.91
4052527A	IV	Rat 1 -20M349	6	3.51
4052527A	IV	Rat 1 -20M349	8	1.17
4052527A	IV	Rat 1 -20M349	12
4052527A	IV	Rat 1 -20M349	24
4052527A	IV	Rat 2 -20M337	0.25	89.7
4052527A	IV	Rat 2 -20M337	0.5	151
4052527A	IV	Rat 2 -20M337	1	198
4052527A	IV	Rat 2 -20M337	1.083333333	76.7
4052527A	IV	Rat 2 -20M337	1.25	67.6
4052527A	IV	Rat 2 -20M337	1.5	46.8
4052527A	IV	Rat 2 -20M337	2	26.6
4052527A	IV	Rat 2 -20M337	4	8.85
4052527A	IV	Rat 2 -20M337	6	3.86
4052527A	IV	Rat 2 -20M337	8	1.47
4052527A	IV	Rat 2 -20M337	12
4052527A	IV	Rat 2 -20M337	24
4052527A	PO	Rat 3 -20M363	0
4052527A	PO	Rat 3 -20M363	0.25	10.2
4052527A	PO	Rat 3 -20M363	0.5	19.3
4052527A	PO	Rat 3 -20M363	1	28.4
4052527A	PO	Rat 3 -20M363	1.5	31.9
4052527A	PO	Rat 3 -20M363	2	30.4
4052527A	PO	Rat 3 -20M363	3	20.3
4052527A	PO	Rat 3 -20M363	4	14.7
4052527A	PO	Rat 3 -20M363	6	13.3
4052527A	PO	Rat 3 -20M363	8	6.85
4052527A	PO	Rat 3 -20M363	12	1.08
4052527A	PO	Rat 3 -20M363	24
4052527A	PO	Rat 4 -20M336	0
4052527A	PO	Rat 4 -20M336	0.25	18.5
4052527A	PO	Rat 4 -20M336	0.5	26.7
4052527A	PO	Rat 4 -20M336	1	35.7
4052527A	PO	Rat 4 -20M336	1.5	32.3
4052527A	PO	Rat 4 -20M336	2	29.6
4052527A	PO	Rat 4 -20M336	3	21.2
4052527A	PO	Rat 4 -20M336	4	17.5
4052527A	PO	Rat 4 -20M336	6	12.3
4052527A	PO	Rat 4 -20M336	8	7.55
4052527A	PO	Rat 4 -20M336	12	1.12
4052527A	PO	Rat 4 -20M336	24
4107920A	IV	Rat 1 -20M349	0.25	169
4107920A	IV	Rat 1 -20M349	0.5	297
4107920A	IV	Rat 1 -20M349	1	538
4107920A	IV	Rat 1 -20M349	1.083333333	407
4107920A	IV	Rat 1 -20M349	1.25	362
4107920A	IV	Rat 1 -20M349	1.5	366
4107920A	IV	Rat 1 -20M349	2	323
4107920A	IV	Rat 1 -20M349	4	253
4107920A	IV	Rat 1 -20M349	6	201
4107920A	IV	Rat 1 -20M349	8	141
4107920A	IV	Rat 1 -20M349	12	124
4107920A	IV	Rat 1 -20M349	24	45.4
4107920A	IV	Rat 2 -20M337	0.25	238
4107920A	IV	Rat 2 -20M337	0.5	442
4107920A	IV	Rat 2 -20M337	1	759
4107920A	IV	Rat 2 -20M337	1.083333333	419
4107920A	IV	Rat 2 -20M337	1.25	488
4107920A	IV	Rat 2 -20M337	1.5	493
4107920A	IV	Rat 2 -20M337	2	386
4107920A	IV	Rat 2 -20M337	4	310
4107920A	IV	Rat 2 -20M337	6	247
4107920A	IV	Rat 2 -20M337	8	194
4107920A	IV	Rat 2 -20M337	12	147
4107920A	IV	Rat 2 -20M337	24	60.8
4107920A	PO	Rat 3 -20M363	0
4107920A	PO	Rat 3 -20M363	0.25	42.2
4107920A	PO	Rat 3 -20M363	0.5	96.9
4107920A	PO	Rat 3 -20M363	1	161
4107920A	PO	Rat 3 -20M363	1.5	215
4107920A	PO	Rat 3 -20M363	2	224
4107920A	PO	Rat 3 -20M363	3	229
4107920A	PO	Rat 3 -20M363	4	218
4107920A	PO	Rat 3 -20M363	6	222
4107920A	PO	Rat 3 -20M363	8	218
4107920A	PO	Rat 3 -20M363	12	157
4107920A	PO	Rat 3 -20M363	24
4107920A	PO	Rat 4 -20M336	0
4107920A	PO	Rat 4 -20M336	0.25	85.2
4107920A	PO	Rat 4 -20M336	0.5	134
4107920A	PO	Rat 4 -20M336	1	173
4107920A	PO	Rat 4 -20M336	1.5	199
4107920A	PO	Rat 4 -20M336	2	211
4107920A	PO	Rat 4 -20M336	3	199
4107920A	PO	Rat 4 -20M336	4	203
4107920A	PO	Rat 4 -20M336	6	190
4107920A	PO	Rat 4 -20M336	8	178
4107920A	PO	Rat 4 -20M336	12	131
4107920A	PO	Rat 4 -20M336	24	109